"Дата","Направени тестове","Тестове за денонощие","Потвърдени случаи","Активни случаи","Нови случаи за денонощие","Хоспитализирани","В интензивно отделение","Излекувани","Излекувани за денонощие","Починали","Починали за денонощие"
"2020/06/06","89902","2012","2668","980","41","147","12","1528","138","160","1"
"2020/06/07","90329","1252","2711","1006","43","155","12","1545","17","160","0"
"2020/06/08","90329","427","2727","1019","16","158","12","1548","3","160","0"
"2020/06/09","91735","1406","2810","1059","83","152","15","1587","39","164","4"
"2020/06/10","93512","1777","2889","1099","79","161","13","1623","36","167","3"
"2020/06/11","95820","2308","2993","1162","104","187","17","1664","41","167","0"
"2020/06/12","98460","2640","3086","1230","93","204","15","1688","24","168","1"
"2020/06/13","101102","2642","3191","1303","105","215","15","1716","28","172","4"
"2020/06/14","103077","1975","3266","1371","75","247","16","1723","7","172","0"
"2020/06/15","104486","1409","3290","1386","24","244","15","1730","7","174","2"
"2020/06/16","106280","1794","3341","1381","51","253","14","1784","54","176","2"
"2020/06/17","108325","2045","3453","1455","112","267","13","1817","33","181","5"
"2020/06/18","110379","2054","3542","1478","89","276","12","1880","63","184","3"
"2020/06/19","112483","2104","3674","1543","132","289","13","1941","61","190","6"
"2020/06/20","114854","2371","3755","1554","81","314","17","2008","67","193","3"
"2020/06/21","116214","1360","3872","1646","117","322","13","2027","19","199","6"
"2020/06/22","116780","566","3905","1632","33","322","13","2074","47","199","0"
"2020/06/23","119556","2776","3984","1606","79","341","11","2171","97","207","8"
"2020/06/24","122502","2946","4114","1689","130","362","13","2217","46","208","1"
"2020/06/25","125518","3016","4242","1770","128","390","16","2263","46","209","1"
"2020/06/26","128293","2775","4408","1827","166","384","16","2370","107","211","2"
"2020/06/27","131043","2750","4513","1841","105","392","18","2457","87","215","4"
"2020/06/28","132571","1528","4625","1934","112","423","20","2475","18","216","1"
"2020/06/29","133605","1034","4691","1964","66","423","25","2508","33","219","3"
"2020/06/30","138130","4525","4831","2026","140","434","31","2582","74","223","4"
"2020/07/01","141473","3343","4989","2083","158","435","32","2676","94","230","7"
"2020/07/02","144369","2896","5154","2200","165","446","32","2722","46","232","2"
"2020/07/03","147524","3155","5315","2281","161","443","31","2802","80","232","0"
"2020/07/04","150062","2538","5497","2366","182","450","29","2892","90","239","7"
"2020/07/05","152653","2591","5677","2538","180","463","29","2898","6","241","2"
"2020/07/06","153576","923","5740","2579","63","458","28","2915","17","246","5"
"2020/07/07","156351","2775","5914","2664","174","470","29","3000","85","250","4"
"2020/07/08","159818","3467","6102","2811","188","483","32","3037","37","254","4"
"2020/07/09","164104","4286","6342","2917","240","498","29","3166","129","259","5"
"2020/07/10","167790","3686","6672","3181","330","525","28","3229","63","262","3"
"2020/07/11","172330","4540","6964","3389","292","516","32","3308","79","267","5"
"2020/07/12","175136","2806","7175","3597","211","532","33","3311","3","267","0"
"2020/07/13","176334","1198","7252","3665","77","535","33","3319","8","268","1"
"2020/07/14","179675","3341","7411","3618","159","529","29","3517","198","276","8"
"2020/07/15","184560","4885","7645","3699","234","551","27","3663","146","283","7"
"2020/07/16","189953","5393","7877","3747","232","575","28","3841","178","289","6"
"2020/07/17","196479","6526","8144","3924","267","582","28","3927","86","293","4"
"2020/07/18","201363","4884","8442","4112","298","606","33","4033","106","297","4"
"2020/07/19","203366","2003","8638","4258","196","605","34","4081","48","299","2"
"2020/07/20","206521","3155","8733","4327","95","610","34","4106","25","300","1"
"2020/07/21","210207","3686","8929","4416","196","624","34","4205","99","308","8"
"2020/07/22","215572","5365","9254","4420","325","622","31","4521","316","313","5"
"2020/07/23","221755","6183","9584","4620","330","642","24","4643","122","321","8"
"2020/07/24","227668","5913","9853","4493","269","665","27","5031","388","329","8"
"2020/07/25","233631","5963","10123","4534","270","669","28","5252","221","337","8"
"2020/07/26","235792","2161","10312","4668","189","694","33","5306","54","338","1"
"2020/07/27","239294","3502","10427","4732","115","682","34","5355","49","340","2"
"2020/07/28","243126","3832","10621","4689","194","686","39","5585","230","347","7"
"2020/07/29","248429","5303","10871","4750","250","699","40","5766","181","355","8"
"2020/07/30","254824","6395","11155","4816","284","722","37","5971","205","368","13"
"2020/07/31","261463","6639","11420","4873","265","751","34","6173","202","374","6"
"2020/08/01","267045","5582","11690","4988","270","778","42","6319","146","383","9"
"2020/08/02","271000","3955","11836","5055","146","793","43","6396","77","385","2"
"2020/08/03","272491","1491","11955","5147","119","814","46","6420","24","388","3"
"2020/08/04","276628","4137","12159","5071","204","823","43","6684","264","404","16"
"2020/08/05","281953","5325","12414","5035","255","847","41","6964","280","415","11"
"2020/08/06","287654","5701","12717","5139","303","872","44","7154","190","424","9"
"2020/08/07","294087","6433","13014","5205","297","874","47","7374","220","435","11"
"2020/08/08","299924","5837","13209","5145","195","857","55","7622","248","442","7"
"2020/08/09","303536","3612","13343","5180","134","848","55","7718","96","445","3"
"2020/08/10","304811","1275","13396","5177","53","849","54","7772","54","447","2"
"2020/08/11","308478","3667","13512","5073","116","854","54","7980","208","459","12"
"2020/08/12","313866","5388","13722","5097","210","861","64","8154","174","471","12"
"2020/08/13","318974","5108","13893","4932","171","834","63","8479","325","482","11"
"2020/08/14","324851","5877","14069","4684","176","824","63","8901","422","484","2"
"2020/08/15","330785","5934","14243","4637","174","811","58","9114","213","492","8"
"2020/08/16","333530","2745","14333","4677","90","811","55","9161","47","495","3"
"2020/08/17","334311","781","14365","4681","32","807","56","9186","25","498","3"
"2020/08/18","339563","5252","14500","4546","135","768","56","9442","256","512","14"
"2020/08/19","343230","3667","14669","4451","169","782","61","9699","257","519","7"
"2020/08/20","351879","8649","14820","4362","151","752","60","9931","232","527","8"
"2020/08/21","358723","6844","14962","4343","142","766","63","10087","156","532","5"
"2020/08/22","365096","6373","15131","4310","169","734","73","10282","195","539","7"
"2020/08/23","368498","3402","15227","4360","96","743","74","10322","40","545","6"
"2020/08/24","370786","2288","15287","4404","60","745","74","10338","16","545","0"
"2020/08/25","374374","3588","15386","4326","99","714","65","10497","159","563","18"
"2020/08/26","380606","6232","15589","4416","203","715","64","10601","104","572","9"
"2020/08/27","384450","3844","15751","4415","162","741","60","10750","149","586","14"
"2020/08/28","392089","7639","15908","4270","157","726","65","11044","294","594","8"
"2020/08/29","398426","6337","16065","4231","157","712","59","11231","187","603","9"
